सुभाषितम्	विषयः	भाषा	वक्ता	स्रोतांसि	रस्यता	रसः। भावः	विवरणम्	सङ्केतः	छन्दः	अर्थालङ्काराः	शब्दालङ्काराः	स्मरणीय-पदानि
अनेकसंशयोच्छेदि परोक्षार्थस्य दर्शकम्। सर्वस्य लोचनं शास्त्रं यस्य नास्त्यन्ध एव सः॥	शास्त्रम्											
शिवाय विष्णुरूपाय शिवरूपाय विष्णवे शिवस्य हृदयं विष्णुर्विष्णोश्च हृदयं शिवः| 	हरिहरौ											
खादन्न गच्छामि हसन्न जल्पे गतन्न शोचामि कृतन्न मन्ये। द्वाभ्यान् तृतीयो न भवामि राजन् किङ् कारणम् भोज भवामि मूर्ख: ।	मूर्खः, चञ्चु-प्रवेशः											
पुनर् उक्तावधि वासरम् एतस्याः कितव पश्य गणयन्त्याः / इयम् इव करजः क्षीणस् त्वम् इव कठोराणि पर्वाणि //	प्रिय-वियोगः						'Look at her counting days. She's become thin like the fingers, but you're hard like the knuckles'					
प्रिये प्रयाते हृदयं प्रयातं निद्रा गता चेतनया सहै७व / निर्लज्ज हे जीवित न श्रुतं किं महाजनो येन गतः स पन्थाः // 	प्रिय-वियोगः											
पीत्वा भृशं कमलकुड्मलशुक्तिकोषा दोषातनीतिमिरवृष्टिम् अथ स्फुटन्तः / निर्यन्मधुव्रतकदम्बमिषाद् वमन्ति बिभ्रन्ति कारणगुणान् इव मौक्तिकानि // 	तिमिरम्, मौक्तिकम्, कमलानि						मौक्तिकानाम् उत्पादनार्थं शुक्तिकोषेषु सिकतकणसदृशं किमप्य् अपेक्ष्यते खलु, तदेव स्यात् कारणगुणः।					
तार्किका बहवः सन्ति शाब्दिकाश्च सहस्रशः। विरलाः कवयो लोके सरलालापपेशलाः॥	रसिकता, तार्किकः, वैयाकरणः, कविः											
दम्भेन लोभेन भिया ह्रिया वा प्रायो विनीतो जन एष सर्व:। वैराग्यतस्त्वाहृदयं विनीतम् नरं वरं दुर्लभमेव मन्ये।।	दम्भः, विनयः											
तव तत्त्वं न जानामि कीदृशोऽसि महेश्वर । यादृशोऽसि महादेव तादृशाय नमो नमः ॥	शिवः, अवर्यता											
दृष्टदुःखेष्वनुद्वेगो विद्यायाः प्रस्तुतं फलम् । यत्कृतं भ्रान्तिवेलायां नाना कर्म जुगुप्सितम् पश्चान्नरो विवेकेन तत्कथं कर्तुमर्हति ॥	विवेकः, आपत्, बिद्धि-नाशः											
उद्योगे नास्ति दारिद्र्यं जपतो नास्ति पातकम् । मौनेन कलहो नास्ति नास्ति जागरिते भयम् ॥ 	जागरूकता, मौनम्, कलहः, उद्योगः											
पादाहतो ऽथ धृतदण्डविघट्टितो वा  यं दंष्ट्रया स्पृशति तं किल हन्ति सर्पः। को ऽप्यन्य एष पिशुनो ऽत्र भुजङ्गधर्मा कर्णे परं स्पृशति हन्त्य् अपरं समूलम्॥	पिशुनः, 											
प्रिया दुहितरो धातुर् विपदः प्रतिभान्ति नः / गुणवत्यः कुलीनेभ्यो दीयन्ते कथम् अन्यथा //	आपत्, विधि-विषम्यम्											
बह्वेतत् कामयानस्य शक्यमेतेन जीवितुम्। यदहं सा च वामोरूः एकां धरणिमाश्रितौ ॥ (रामायणम्)	प्रिय-वियोगः, आदरः											
बाले ! नाथ ! विमुञ्च मानिनि ! रुषं , रोषान्मया किं कृतम् ? खेदो’स्मासु , न मे’पराध्यति भवान् सर्वे’पराधा मयि ! तत्किं रोदिषि गद्गदेन वचसा ? कस्याग्रतो रुद्यते ? नन्वेतन्मम ! का तवास्मि ? दयिता ! नास्मीत्यतो रुद्यते !	प्रणय-कलहः, चाटु											
बालेन्द्रगोपान्तरचित्रितेन विभाति भूमिर्नवशाद्वलेन । गात्रानुपृक्तेन शुकप्रभेण नारीव लाक्षोक्षितकंबलेन ॥	भूमिः, हरित्त्वम्											
ब्रह्मा येन कुलालवन्नियमितो ब्रह्माण्डभाण्डोदरे विष्णुर्येन दशावत्रगहने क्षिप्तो महासङ्कटे । रुद्रो येन कपालपाणिपुटके भिक्षाटनं कारितः सूर्यो भ्राम्यति नित्यमेव गगने तस्मै नमः कर्मणे ॥ 	कर्म											
बिडौजाः पुरा पृष्टवान् पद्मयोनिं धरित्रीतले सारभूतं किमस्ति । चतुर्भि: मुखैरित्यवोचत् विरिञ्चिः तमाखुःतमाखुःतमाखुःतमाखुः ।।	तमाखुः											
 बाल्यं यद् अस्यास् त्रिवलीतटिन्यास् तटे विनष्टं सह चापलेन / तदर्थम् उत्थापितचारुचैत्यकल्पौ स्तनौ पाण्डुतरौ तरुण्याः //	स्त्री-सौन्दर्यम्											
वेदमेव सदाभ्यस्येत् तपस्तप्स्यन् द्विजोत्तमः। वेदाभ्यासो हि विप्रस्य तपः परमिहोच्यते ।।	वेदाः											
सम्मानाद्ब्राह्मणो नित्य- मुद्विजेत विषादिव । अमृतस्येव चाकाङ्क्षे- दवमानस्य सर्वदा ।।	अवमानम्, जागृतिः, स्तुतिः, निन्दा											
न हि भिक्षुकाः सन्तीति स्थाल्यो नाधिश्रियन्ते। न हि मृगाः सन्तीति यवा नोप्यन्त इति वात्स्यायनः।।	पराजय-भीतिः, साहसम्											
बलं बलवतामस्मि कामरागविवर्जितम्।  धर्माविरुद्धो भूतेषु कामोस्मि भरतर्षभ। ।	धर्मः, कामः											
न तेन वृद्धो भवति येनास्य पलितं शिरः। यो वै युवाप्यधीयानस् तन् देवाः स्थविरं विदुः।।	विद्या, जरा											
भो दारिद्र्य ! नमस्तुभ्यं सिद्धोऽहं त्वत्प्रसादतः । पश्याम्यहं जगत्सर्वं न मां पश्यति कश्चन ॥ 	दारिद्र्यम्											
'भो भोः पान्थ कुतो?' 'नगरतो' 'वार्ता तु काचित् श्रुता? 'बाढं' 'ब्रूहि' 'युवा पयोदसमये भार्यां विना जीवति । 'सत्यं जीवति' 'जीवतीति कथिता वार्ता मयापि श्रुता  'संकीर्णा पृथिवी जनाश्च बहवः किं तन्न सम्पद्यते' ॥ 	प्रिय-वियोगः											
भो भो दिक्पतयः प्रयात परतः खं मुञ्चता७म्भोमुचः पातालं व्रज मेदिनि प्रविशत क्षोणीतलं क्ष्माभृतः / ब्रह्मन्न् उन्नय दूरम् आत्मसदनं देवस्य मे नृत्यतः शम्भोः संकटम् एतद् इत्य् अवतु वः प्रोत्सारणा नन्दिनः //	शिवः, ताण्डवम्											
भग्नपृष्ठकटिग्रीवं स्तब्धदृष्टिरधोमुखम् । कष्टेन लिखितं ग्रन्थं, यत्नेन परिपालयेत् //	लेखनम्											
भोगार्हे नवयौवनेपि विपिने चीराम्बरो राघवः तत्राप्यस्य परेण दारहरणं क्लेशः तदन्वेषणे ।  संप्राप्तापि जनापवादरजसा त्यक्ता पुनर् जानकी सर्वं दुखमिदं तदस्तु भवतां श्लाघ्यो विवेकोदयः ।।	वैराग्यम्, कर्म											
भवति कृपणपुरुषस्य प्रभवन्त्यपि निष्फलैव धनवृद्धिः । ग्रीष्मातपसंतप्तस्य निजच्छायेव पथिकस्य । । 	कृपणः											
भाले तिलकलेखेयं बाले भल्लीव राजते । भ्रूलताचापमाकृष्य न जाने कं हनिष्यसि । ।	स्त्री-सौन्दर्यम्, तिलकम्											
योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय | सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते ||	योगः, समदृष्टिः, धृतिः, धैर्यम्, परनेयता											
वित्तम् बन्धुर्वयः कर्म विद्या भवति पञ्चमी । एतानि मान्यस्थानानि गरीयो यद्यदुत्तरम् ।।	पूज्यता, वयः, विद्या											
उपाध्यायान् दशाऽऽचार्य आचार्याणां शतम् पिता। सहस्रन् तु पितॄन्माता गौरवेणातिरिच्यते।।	माता, पूज्यता											
समदोषः समाग्निश्च समधातुमलक्रियः।  प्रसन्नात्मेन्द्रियमनाः स्वस्थ इत्यभिधीयते।। 	स्वास्थ्यम्											
सावित्रीमात्रसारोऽपि वरं विप्रः सुयन्त्रितः। नायन्त्रितस् त्रिवेदोऽपि सर्वाशी सर्वविक्रयी।।	दमः											
भवित्री रम्भोरु त्रिदश-वदन-ग्लानिरधुना स ते रामः स्थाता न युधि पुरतो लक्ष्मण-सखः ।  इयं यास्यत्युच्चैः विपदम् अधुना वानरचमूः लघिष्ठेदं षष्ठाक्षर-पर-विलोपात् पठ पुनः ||  	चाटु, रावणः											
भिक्षो मांसनिषेवणं च कुरुषे किं तेन मद्यं विना मद्यं चापि तव प्रियं प्रियमहो वाराङ्गनाभिः सह । तासामर्थरुचिः कुतस्तव धनं द्यूतेन चौर्येण वा चौर्यद्यूतपरिग्रहोऽस्ति भवतः भ्रष्टस्य का वा गतिः ॥	कुसन्न्यासः											
भवन्ति नम्राः तरवः फलोद्गमैः नवाम्बुभिः दूरविलम्बिनो घनाः । अनुध्दता सत्पुरुषास्समृध्दिभिः स्वभाव एवैष परोपकारिणाम् ॥	विनयः, सज्जनः											
भ्रान्तं देशमनेकदुर्गविषमं प्राप्तं न किञ्चित्फलम् त्यक्त्वा जातिकुलाभिमानमुचितं सेवा कृता निष्फला ।  भुक्तं मानविवर्जितं परगृहेष्वाशङ्कया काकवत् तृष्णे जृम्भसि पापकर्मपिशुने नाद्यापि सन्तुष्यसि ॥	लोभः											
किं भाग्यं देहवताम्? आरोग्यम्, कः फली? कृषिकृत्। कस्य न पापं? जपतः, कः पूर्णो? यः प्रजावान् स्यात्।।	सुजीवनम्											
ध्यायतो विषयान्पुंसः सङ्गस्तेषूपजायते | सङ्गात्सञ्जायते कामः कामात्क्रोधोऽभिजायते || 	दमः, लोभः, कामः, क्रोधः											
भवन्तो वाग्देवीनयनपतितापाङ्गपृषतस्तृषावन्तो वृष्ट्यै निबिडितकरा याचनपराः। वयं धन्याः स्तन्यामृतरससमार्द्राधरपटास्तदुत्सङ्गे स्थित्वा विविधविधिभिः क्रीडनकृतौ॥	कविः, प्रतिभा		बलरामः									
भो भद्र कृतं मौनं कोकिलैर्जलदागमे । वक्तारो दर्दुरा यत्र तत्र मौनं हि शोभनम् ।। 	मौनम्, वितण्डः, कोलाहलम्											
भूषाभोगिश्वसितपवनैः फालनेत्रे प्रदीप्ते स्विन्नस्येन्दोरमृतपृषतैरूर्जितं निर्गलद्भिः । मौलौ यस्य द्रुहिणशिरसां मण्डली मण्डपान्तः क्ष्मादेवानां श्रुतिपदजुषां संशयानुच्छिनत्ति ॥  	शिवः											
भ्रूभङ्गो गणितश् चिरं नयनयोर् अभ्यस्तम् आमीलनं रोद्धुं शिक्षितम् आदरेण हसितं मौने ऽभियोगः कृतः / धैर्यं कर्तुम् अपि स्थिरीकृतम् इदं चेतः कथंचिन् मया बद्धो मानपरिग्रहे परिकरः सिद्धिस् तु दैवे स्थिता //	प्रणय-कलहः, मान-नटनम्											
भ्रूभंगे रचितेऽपि दृष्टिरधिकम् सोऽत्कंठमुद्वीक्ष्यते रुद्धायामपि वाचि सस्मितमिदम् दग्धाननम् जायते । कार्कश्यं गमितेऽपि चेतसि तनुः रोमांचमालंबते दृष्टे निर्वहणम् भविष्यति कथम् मानस्य तस्मिन् जने ॥	प्रणय-कलहः, मान-नटनम्											
भवतु विदितं कृत्यालापैर् अलं प्रिय गम्यतां तनुर् अपि न ते दोषो ऽस्माकं विधिस् तु पराङ्मुखः / तव यदि तथा०रूढं प्रेम प्रपन्नम् इमां दशां प्रकृतिचपले का नः पीडा गते हतजीविते //	प्रणय-कलहः											
मुक्तामणि त्वं! नयनम् ममेति राजेति जीवेति चिरं सुत त्वम् । इत्युक्तवत्यास् तव वाचि मातः ददाम्यहं तण्डुलम् एव शुष्कम् ॥	माता, कालः, लयः, बाल्यम्, वात्सल्यम्											
मर्कटमुखि मरिचस्तनि मुरजोदरि मुष्टिमेयकटिदेशे| मार्जारशावनयने स्मरामि कान्ते त्वदङ्गानि|| 	कुरूपम्											
मृगतृष्णाम्भसि स्नातः खपुष्पकृतशेखरः । एष वन्ध्यासुतो याति शशशृङ्गधनुर्धरः ॥ 	कल्पना											
मनीषिणः सन्ति न ते हितैषिणो हितैषिणः सन्ति न ते मनीषिणः । सहृच्च विद्वानपि दुर्लभो नृणां यथौषधं स्वादु हितञ्च दुर्लभम् ।	मैत्री, विद्वत्ता											
मातुलो यस्य गोविन्दः पिता यस्य धनञ्जयः । सोऽपि कालवशं प्राप्तः कालो हि दुरतिक्रमः ॥	कालः, लयः											
 मुग्धे मुग्धतयैव नेतुमखिलः कालः किमारभ्यते मानं धत्स्व धृतिं बधान ऋजुतां दूरे कुरु प्रेयसि। सख्यैवं प्रतिवोधिता प्रतिवचस्तामाह भीतानना. नीचैः शंस हृदि स्थितो हि ननु मे प्राणेश्वरः श्रोष्यति।। 	जारता, स्नेहः, स्नेह-नटनम्, विक्षिप्त-मनाः											
मन्दः पापग्रहः क्रौर्याद् अनिष्टः शुभकर्मणाम् ।  पिशुनः शनितुल्योपि चित्रं यदशनिर् नृणाम्  ।।  	पिशुनः											
मा गच्छ त्वमितस्ततो गिरिश भो मय्येव वासं कुरु स्वामिन्नादिकिरात मामकमनःकान्तारसीमान्तरे | वर्तन्ते बहुशो मृगा मदजुषो मात्सर्यमोहादयस् तान् हत्वा मृगयाविनोदरुचितालाभं च संप्राप्स्यसि || 	शिवः, दमः, जपः, ईश्वर-प्रणिधानम्											
 मान्धाता च महीपतिः कृतयुगेऽलङ्कारभूतो गतः सेतुः येन महोदधौ विरचितः क्वासौ दशास्यान्तकः ।  अन्ये चापि युधिष्ठिर-प्रभृतयो याता दिवं भूपते नैकेनापि समं गता वसुमती मुञ्ज! त्वया यास्यति॥	कालः, ईर्ष्या											
“मातः!” “किं यदुनाथ?” “देहि चषकं” “किं तेन” “पातुं पयः” “तन्नास्त्यद्य” “कदास्ति वा?” “निशि” “निशा का?” “वाऽन्धकारोदयः”। आमील्याक्षियुगं निशाप्युपगता देहीतिमातुर्मुहुः वक्षोजांशुककर्षणोद्यतकरः कृष्णस्स पुष्णातु नः ॥ 	कृष्णः, बाल-कृष्णः, चाटु											
मौलौ गङ्गा शशाङ्कौ करचरणतले शीतलाङ्गा भुजङ्गाः वामे भागे दयार्द्रा हिमगिरिदुहिता चन्दनम् सर्वगात्रे ।  इत्थम् शीतम् प्रभूतम् तव कनकसभानाथ सोढुम् क्व शक्तिः चित्ते निर्वेदतप्ते यदि भवति न ते नित्यवासो मदीये ॥	शिवः, दमः, जपः, ईश्वर-प्रणिधानम्											
मातर् लक्ष्मि भजस्व कञ्चिद् अपरं मत्काङ्क्षिणी मा स्म भूर् भोगेभ्यः स्पृहयालवस् तव वशाः का निःस्पृहाणाम् असि / सद्यःस्यूतपलाशपत्रपुटिकापात्रीपवित्रीकृतैर् भिक्षासक्तुभिर् एव सम्प्रति वयं वृत्तिं समीहाम॥	वैराग्यम्,											
मासर्तुदर्वीपरिघट्टनेन सूर्याग्निना रात्रिदिवेन्धनेन।  अस्मिन् महामोहमये कटाहेभूतानि कालः पचतीति वार्ता ॥ 	कालः, लयः											
“मातर्” “जीव” “किम् एतद् अञ्जलिपुटे तातेन गोपायितं?” “वत्स, स्वादु फलं” “प्रयच्छति न मे?” “गत्वा गृहाण स्वयम्”  मात्रैवं प्रहिते गुहे विघटयत्य् आकृष्य संध्याञ्जलिं शम्भोर् भग्नसमाधिरुद्धरभसो हासोद्गमः पातु वः|| 	स्कन्दः, बाल्यम्, परिवार-तोषः											
मा गा इत्यपमङ्गलं व्रजसखे स्नेहेन दीनं वचः। तिष्ठेति प्रभुता यथामति चरेत्यैवम् ह्युदासीनता । नो जीवाम विना त्वया यदुपते सम्भाव्यते वा न वा । स्मर्तव्या वयमादरेण भवता यावत् पुनर्दर्शनम् ॥ 	स्नेहः, वियोगः											
मा गा इत्यपमङ्गलं व्रजसखे स्नेहेन दीनं वचः। तिष्ठेति प्रभुता यथामति चरेत्यैवम् ह्युदासीनता । नो जीवाम विना त्वया यदुपते सम्भाव्यते वा न वा । तन्माम् शिक्शय क्रिश्न यत्समुcइतम् वक्यम् त्वयि प्रस्थिते	स्नेहः, वियोगः											
मनसिजविजयास्त्रं नेत्रविश्रामपात्रं तव मुखम् अनुकर्तुं तन्वि वाञ्छा द्वयोश् च / इति जनितविरोधाद् भूतकोपाद् इवायं हरति तुहिनरश्मिः पङ्कजानां विकाशम् //	स्त्री-सौन्दर्यम्											
मूर्धारोपणसत्कृतैर् दिऽसि दिशि क्षुद्रैर् विहङ्गैर् गतं छायादाननिराकृतश्रमभरैर् नष्टं मृगैर् भीरुभिः / हा कष्टं फललोलुपैर् अपसृतं शाखामृगैश् चञ्चलैर् एकेनैव दवानलव्यतिकरः सोढः परं शाखिना // 	कृतज्ञता, कृतघ्नता											
कनकभूषणसंग्रहणोचितो यदि मणिस्त्रपुणि प्रतिबध्यते। न स विरौति न चापि न शोभते भवति योजयितुर्वचनीयता॥ 	उपयोगः, उपयोग-विवेकः											
अनित्त्यानि शरीराणि वैभवं नैव शाश्वतम् । नित्यः सन्निहितो मृत्युः कर्तव्यो धर्मसङ्ग्रह:।।	धर्मः, लयः,											
परिवर्तिनि संसारे मृतः को वा न जायते। स जातो येन जातेन याति वंशःसमुन्नतिम्।।	कुलम्											
अयि काचित्त्वमस्माकं भाग्यैर्लब्धा रसौषधिः । गुरवोऽपि यया गेहे बालिके बालकीकृताः ॥	बाल्यम्, बाल-वर्धनम्	राजारामज-शङ्करः										
कण्ठमालिङ्ग्य कृष्णस्य स्थितासि वनमालिके । मर्दिष्यन्ति हठाद्गोप्यस्त्वां भुजाश्लेषकेलिषु ॥	कृष्णः, रास-लीला	राजारामज-शङ्करः										
कॆट्लाग्-पण्डिताः केचित् पीठिकापण्डिताः परे। केचित् पण्डितनामज्ञाः सर्वे संस्कृतपण्डिताः॥	कुपण्डितः											
 आचिनोति च शास्त्रार्थं आचारे स्थापयत्यपि । स्वयमाचरते यस्तु स आचार्य इति स्मृतः ॥	विद्वत्ता, आचार्यः											
य:शास्त्रविधिमुत्सृज्य वर्तते कामकारत:। न स सिद्धिमवाप्नोति न सुखं न परां गतिम्।।	शास्त्रम्, कामः											
तस्माच्शास्त्रं प्रमाणं ते कार्याऽकार्यव्यवस्थितौ । ज्ञात्वा शास्त्रविधानोक्तं कर्म कर्तुमिहार्हसि ॥	शास्त्रम्, विधिः											
एकाक्षरम् परम् ब्रह्म प्राणायामाः परन् तपः। सावित्र्यास्तु परन्नास्ति मौनात् सत्यं विशिष्यते ।।	ॐकारः, प्राणायामः, सावित्री, यमः, सत्यम्											
अभिवादनशीलस्य नित्यं वृद्धोपसेविनः। चत्वारि सम्प्रवर्धन्ते आयुर् विद्या यशो बलम् ।।	वृद्ध-पूजा											
यथा काष्ठं च काष्ठं च समेयातां महोदधौ | समेत्य च व्यपेयातां तद्वद् भूतसमागमः ||	सङ्गमः, वियोगः											
योगानन्दमयाः केचिद्भोगानन्दपराः परे।  वयं सर्वप्रदातारं रसानन्दमुपास्महे॥ 	रसिकता											
यं विद्म इति यद्ग्रन्थानभ्यस्यामोऽखिलानिति । यस्य शिष्यास्म इति च श्लाघन्ते स्म विपश्चितः ॥	विद्वत्ता, कविः, सुजनः, नीलकण्ठ-दीक्षितः											
यानेव शब्दान्वयमालपामो यानेव चार्थान्वयमुल्लिखामः । तैरेव विन्यासविशेषभव्यैः सम्मोहयन्ते कवयो जगन्ति ॥	कविः, वक्रोक्तिः											
दृष्ट्वा कौस्तुभमप्सरोगणमपि प्रक्रान्तवादा मिथो गीर्वाणाः कति वा न सन्ति भुवने भारा दिवः केवलम् । निष्क्रान्ते गरले द्रुते सुरगणे निश्चेष्टिते विष्टपे मा भैष्टेति गिराविरास धुरि यो देवस्तमेव स्तुमः ॥	शिवः, बलम्											
आयुःप्रश्ने दीर्घमायु- र्वाच्यं मौहूर्तिकैर्जनैः । जीवन्तो बहुमन्यन्ते मृताः प्रक्ष्यन्ति कं पुनः ॥	ज्यौतिषिकः											
नातिधैर्यं प्रदातव्यं नातिभीतिश्च रोगिणि । नैश्चिन्त्यान्नादिमे दानं नैराश्यादेव नान्तिमे ॥ 	वैद्यः, चिकित्सा											
मन्त्रभ्रंशे संप्रदायः प्रयोगश्च्युतसंस्कृतौ । देशधर्मस्तवनाचारे पृच्छतां सिद्धमुत्तरम् ॥	कर्म, विधिः											
नीतिज्ञा नियतिज्ञा वेदज्ञा अपि भवन्ति शास्त्रज्ञाः । ब्रह्मज्ञा अपि लभ्याः स्वाज्ञानज्ञानिनो विरलाः ॥	आत्म-ज्ञानम्											
त्यक्तव्यो ममकारस्त्यक्‍तुं यदि शक्‍यते नासौ । कर्तव्यो ममकारः किन्तु स सर्वत्र कर्तव्यः ॥	ममता, समदृष्टिः											
यः पठति लिखति पश्यति परिपृच्छति पण्डितान् उपाश्रयति । तस्य दिवाकरकिरणैः नलिनी दलं इव विस्तारिता बुद्धिः ॥ 	अध्ययनम्, बुद्धि-विकासः											
यद् रात्रौ रहसि व्यपेतविनयं वृत्तं रसात् कामिनोर् अन्योन्यं शयनीयम् ईहितरसावाप्तिप्रवृत्तस्पृहम् । तत् सानन्दमिलद्दृशोः कथमपि स्मृत्वा गुरूणां पुरो हासोद्भेदनिरोधमन्थरमिलत्तारं कथंचित् स्थितम्  ।।	रतिः, व्रीढा											
श्रेयान् स्वधर्मो विगुण: परधर्मात् स्वनुष्ठितात्। स्वधर्मे निधनं श्रेय: परधर्मो भयावह:।। स्वधर्म: = स्ववर्णाश्रमविशेषधर्म:।	धर्मः, स्वधर्मः											
मारमणमुमारमणं फणधरतल्पं फणाधराकल्पम् । मुरमथनं पुरमथनं वन्दे बाणारिमसमबाणारिम् ॥	हरिहरौ											
यद् वदन्ति चपलेत्यपवादं तन्न दूषणमहो चपलायाः । दोष एष जलधेः पितुरस्या यत् पुराणपुरुषाय ददौ ताम्॥	लक्ष्मीः											
यत्रानेकः क्वचिदपि गृहे तत्र तिष्ठत्यथैको यत्राप्येकस्तदनु बहवस्तत्र नैकोऽपि चान्ते । इत्थं नेयौ रजनिदिवसौ लोलयन्द्वाविवाक्षौ कालः कल्यो भुवनफलके क्रीडति प्राणिशारैः ॥	कालः, लयः, वियोगः											
यदि सा चारुसर्वाङ्गी चित्ते वसति मे प्रिया । तत्कथं शून्यचित्तोऽहम् अहो विधिविपर्ययः । । 	प्रिय-वियोगः, विक्षिप्त-मनस्कता											
यदि स्मरामि तन्वाङ्गीं जीविताशा कुतो मम । अथ विस्मृत्य जीवामि जीवितव्यसनेन किम् । ।	प्रिय-वियोगः											
या स्वसद्मनि पद्मेऽपि संघ्यावधि विजृम्भते। इन्दिरा मन्दिरेऽन्येषां कथं तिष्ठति सा चिरम्॥	लक्ष्मीः, लक्ष्मी-चाञ्चल्यम्											
युगपत्स्वगण्डचुम्बनलोलौ पितरौ निरीक्ष्य हेरम्बः । तन्मुखमेलनकुतुकी स्वाननमपनीय परिहसन्पायात्	शिवौ											
यद् यद् इष्टतरं तत् तद् देयं गुणवते किल / अत एव खलो दोषान् साधुभ्यः सम्प्रयच्छति // 	अपवादः, पिशुनः											
याता लोचनगोचरं यदि विधेर् एणेक्षणा सुन्दरी नेयं कुङ्कुमपङ्कपिञ्जरमुखी तेनोज्झिता स्यात् क्षणम् / नाप्य् आमीलितलोचनस्य रचनाद् रूपं भवेद् ईदृशं तस्मात् सर्वम् अकर्तृकं जगद् इदं श्रेयो मतं सौगतम् // 	स्त्रीसौन्दर्यम्, जगत्-सृष्टिः, बौद्ध-मतम्											
या सृष्टिः स्रष्टुराद्या वहति विधिहुतं या हविर्या च होत्री येद्वेकालंविधतः श्रुतिविषयगुणाः या स्थिता व्याप्य विश्वम्। यामाहुः सर्वबीजप्रकृतिरिति यया प्राणिनः प्राणवन्तः प्रत्यक्षाभिः प्रपन्नस्तुनुभिरवतु वरताभिरष्टाभिरीशः।। 	शिवः											
यद्भग्नं धनुरीश्वरस्य शिशुना यज्जामदग्न्यो जितस् त्यक्ता यच्च गुरोर्गिरा वसुमतीबद्धो यदम्भोनिधिः । एकैकं दशकन्धरक्षयकृतो रामस्य किं वर्ण्यतां दैवं वर्णय सोऽपि येन सहसा नीतः कथाशेषताम् ॥ 	कालः, लयः, विधिः, कर्म											
यद्भग्नं धनुरीश्वरस्य शिशुना यज्जामदग्न्यो जितस् त्यक्ता यच्च गुरोर्गिरा वसुमतीबद्धो यदम्भोनिधिः । एकैकं दशकन्धरक्षयकृतो रामस्य किं वर्ण्यतां दैवं वर्णय सोऽपि येन सहसा नीतः कथाशेषताम् ॥ 	दाम्पत्यम्, आदि-प्रणयः											
यस्यास्ति सर्वत्र गतिः स कस्मात् स्वदेशरागेण हि याति नाशम् तातस्य कूपोऽयमिति ब्रुवाणाः क्षारं जलं कापुरुषाः पिबन्ति ॥	देश-भक्तिः, स्वदेशः, विदेशः											
यस्यास्ति वित्तं स नरः कुलीनः स पण्डित स श्रुतवान् गुणज्ञः ।  स एव वक्ता स च दर्शनीयः सर्वे गुणाः काञ्चनमाश्रयन्ते ॥ 	वित्तम्, दारिद्र्यम्, गुणः											
दिक्कालाद्यनवच्छिन्नानन्तचिन्मात्रमूर्तये । स्वानुभूत्य्एकमानाय नमः शान्ताय तेजसे । ।	ब्रह्म											
यदा किञ्चिज्ज्ञोऽहं द्विप इव मदान्धः समभवं तदा सर्वज्ञोऽस्मीत्यभवदवलिप्तं मम मनः यदा किञ्चित्किञ्चिद्बुधजनसकाशादवगतं तदा मूर्खोऽस्मीति ज्वर इव मदो मे व्यपगतः । । 	गर्वः, ज्ञानम्											
यद्धात्रा निजभालपट्टलिखितं स्तोकं महद्वा धनं तत्प्राप्नोति मरुस्थलेऽपि नितरां मेरौ ततो नाधिकम् |. तद्धीरो भव वित्तवत्सु कृपणां वृतिं वृथा मा कृथाः कूपे पश्य पायोनिधावपि घटो गृह्णाति तुल्यं जलम् ||	लोभः, तृप्तिः, विधिः											
तर्कोऽप्रतिष्ठः श्रुतयो विभिन्नाः नैको मुनिर्यस्य वचः प्रमाणम् । धर्मस्य तत्त्वं निहितं गुहायाम् महाजनो येन गतः स पन्थाः ॥	शास्त्रम्, आगमः, आचारः, आचार्यः, प्रमाणम्											
योऽम्भस्तातस्य कूपोऽयमिति कौपं पिबेत्कटु । त्यक्त्वा गाङ्गं पुरःस्थं तं कोऽनुशासति रागिणम् ॥	शास्त्रम्, प्रमाणम्, स्वजनाभिमानः, दुरभिमानः											
अविज्ञाते परे तत्त्वे शास्त्राधीतिस्तु निष्फला। विज्ञातेऽपि परे तत्त्वे शास्त्राधीतिस्तु निष्फला ॥	प्रमाणम्, शास्त्रम्	संस्कृतम्	शङ्करः									
यावानर्थ उदपाने सर्वतः संप्लुतोदके तावान् सर्वेषु वेदेषु ब्राह्मणस्य विजानतः	प्रमाणम्, शास्त्रम्	संस्कृतम्										
उच्चावचपदन्यासद्विगुणैर्नूपुरस्वनैः । वाचालयन्ति धन्यानामर्भका भवनाङ्गणम् ॥	बाल्यम्, बाल-वर्धनम्		राजारामज-शङ्करः									
यूयं वयं,वयं युयम्' इत्यासीन् मतिर् आवयोः| किं जातम् अधुना येन 'यूयं यूयं,' 'वयं वयम्' ||	वियोगः, विग्रहः											
धनं वा यशो वा नवं यौवनं वा यद् एवेप्सितं तत् तद् इष्टं गृहाण । पुनर् मे प्रतीयन्तु कौमारवर्षा स्मृतिस्यन्दनान्दोलिता पत्रनावः ॥ 	बाल्यम्, बाल-वर्धनम्											
